customer_id,country_code,account_creation_method
2c06175e,US,unknown
ee8e5bc2,DE,desktop
9eb4efe0,US,desktop
cac7cbaf,AU,desktop
6b0230bc,TR,desktop
046e7528,PH,desktop
94dfec76,GB,desktop
8a328a1d,BR,desktop
46c57b58,BE,desktop
a2eaa1d1,US,desktop
c7c492f8,FR,desktop
d71c06c6,KR,desktop
9933b602,US,desktop
bbbaa7ff,US,desktop
68673786,ES,desktop
1802f1a0,AU,desktop
2abdb1d2,US,desktop
deba2f70,US,desktop
d9f8bd41,US,desktop
d37ef9f9,US,desktop
1962fd4e,US,desktop
6ee318a8,US,desktop
0d688544,UA,desktop
eb7713b2,AT,desktop
fbe55d88,FR,desktop
44b1b815,IN,desktop
4f91bdc5,AU,mobile
7aaa16c9,US,desktop
fab63d82,US,desktop
6967b8ad,US,desktop
0548e915,FR,desktop
08c6e99f,US,desktop
9ac1cd5e,US,desktop
57f26b8e,DE,desktop
1cd9f372,US,desktop
3b36f3e4,GB,desktop
f15289db,US,desktop
38e64dc5,BR,desktop
926c7df9,IL,desktop
99af8f03,US,desktop
634fb356,US,desktop
e0154ee5,US,desktop
64a4a80c,BR,desktop
9d21a9e5,US,desktop
e57a0a97,FR,mobile
0e6f746e,GB,desktop
f9146908,ES,desktop
09018b2b,US,mobile
f0fbb10a,GB,desktop
e89caee7,US,desktop
9f46220f,US,desktop
ac27bd8b,PL,desktop
39537b46,DK,desktop
d3bc266b,US,mobile
ac4a35e7,US,desktop
d9c07c28,US,desktop
d3fa4c85,FR,desktop
a51faa7f,AR,desktop
8f9aed61,CH,desktop
1ce8cd34,US,desktop
decd0261,AU,desktop
4db5dd8c,US,desktop
8b195040,US,tablet
0f7782c4,CL,desktop
1af9c7de,US,desktop
d8844c3d,RO,desktop
d89ecd98,VN,desktop
771f93ec,JM,desktop
6c25c271,KR,desktop
14934774,AU,desktop
f4359879,IL,desktop
34918d84,US,desktop
05dc958a,AU,mobile
34706fc2,US,desktop
de2c5271,DE,desktop
9dc3f2a2,GB,desktop
d2d7219f,US,desktop
7396c7e8,KR,desktop
6eee6248,FR,desktop
2858600000000000012200257257472,US,desktop
ef0df8dc,US,desktop
5438b3b6,CH,desktop
bddb2688,IN,desktop
a60e8c9e,US,desktop
3f6a2d44,US,desktop
2307420b,US,desktop
f84a6a06,US,desktop
a6849c66,DK,desktop
994ab136,US,desktop
3352f4f3,US,desktop
55b7dbdf,PL,desktop
672be6d5,GB,mobile
c8766580,IT,mobile
f9b43d7c,DE,desktop
e277825c,US,desktop
83453728,AU,desktop
344a615d,US,desktop
08e4bdbb,US,desktop
f42da604,US,desktop
64e1dd19,GB,desktop
0d2a4881,BB,desktop
cc617886,RO,desktop
e8d19822,UA,desktop
be40951c,IN,desktop
d53cf7be,US,desktop
d9c130fc,US,desktop
846d7b4d,GB,desktop
5902d225,JP,desktop
324c4715,GB,desktop
15827421,US,desktop
5eae1b73,NO,desktop
389f8fbf,GB,desktop
9a2ce293,US,desktop
5a9f3dec,BR,desktop
df45ed89,HU,desktop
f5eb05f2,US,desktop
1b0b846e,US,desktop
cc167bcc,GB,desktop
72163ca9,US,desktop
913e52a3,CA,desktop
28803a37,US,unknown
efd983d6,CA,desktop
b2c56c19,GB,desktop
5116edc2,US,desktop
23949611,IT,desktop
ca537e40,VE,desktop
28ed2cbe,US,desktop
edb247fe,US,unknown
6d61f88d,US,desktop
9321099999999999486643772227779884059866950819426060179294460368168198587821347206856704,JP,desktop
c9c41649,US,desktop
67459ef3,US,desktop
a25218b3,US,desktop
82ab6848,US,desktop
9158bc70,US,desktop
1a17b8d8,US,desktop
f8acaad8,NZ,desktop
b47a86b9,US,desktop
4ee06afc,GB,desktop
05c1da16,FR,desktop
