customer_id,order_id,order_date,ship_ts,product_name,product_id,order_amount_usd,purchase_platform,marketing_channel,account_creation_method,country_code,order_year,order_month,order_month_name,order_year_month,date_key
2c06175e,0001328c3c220830,2020-12-24 00:00:00,2020-12-13,Nintendo Switch,e682,168.0,website,affiliate,unknown,US,2020,12,Dec,2020-12,20201224
ee8e5bc2,0002af7a5c6100772,2020-10-01 00:00:00,2020-09-21,Nintendo Switch,e682,160.61,website,direct,desktop,DE,2020,10,Oct,2020-10,20201001
9eb4efe0,0002b8350e167074,2020-04-21 00:00:00,2020-02-16,Nintendo Switch,e682,151.2,website,direct,desktop,US,2020,4,Apr,2020-04,20200421
cac7cbaf,0006d06b98385729,2020-04-07 00:00:00,2020-04-04,Sony PlayStation 5 Bundle,54ed,1132.82,website,direct,desktop,AU,2020,4,Apr,2020-04,20200407
6b0230bc,00097279a2f46150,2020-11-24 00:00:00,2020-08-02,Nintendo Switch,e682,33.89,website,direct,desktop,TR,2020,11,Nov,2020-11,20201124
046e7528,000f169e17f4941,2020-08-20 00:00:00,2020-08-09,Nintendo Switch,e682,168.0,website,direct,desktop,PH,2020,8,Aug,2020-08,20200820
94dfec76,000fdd9bfe463101,2020-05-11 00:00:00,2020-03-05,27in 4K gaming monitor,891b,390.59,website,direct,desktop,GB,2020,5,May,2020-05,20200511
8a328a1d,0010d31e3c058676,2020-07-03 00:00:00,2020-04-03,27in 4K gaming monitor,891b,480.0,website,direct,desktop,BR,2020,7,Jul,2020-07,20200703
46c57b58,0013ac51a8831707,2019-03-24 00:00:00,2018-10-29,JBL Quantum 100 Gaming Headset,ab0f,22.22,website,direct,desktop,BE,2019,3,Mar,2019-03,20190324
a2eaa1d1,001620ea42468912,2019-11-01 00:00:00,2019-10-17,Nintendo Switch,e682,168.0,website,direct,desktop,US,2019,11,Nov,2019-11,20191101
c7c492f8,0016654fc8584512,2019-12-09 00:00:00,2019-07-22,Nintendo Switch,e682,150.53,website,direct,desktop,FR,2019,12,Dec,2019-12,20191209
d71c06c6,00236994a0b90874,2019-08-30 00:00:00,2019-06-29,Nintendo Switch,e682,146.25,website,direct,desktop,KR,2019,8,Aug,2019-08,20190830
9933b602,002a0b04dd764807,2020-02-16 00:00:00,2019-12-08,Sony PlayStation 5 Bundle,54ed,1725.86,website,direct,desktop,US,2020,2,Feb,2020-02,20200216
bbbaa7ff,002f0b22bb379479,2020-05-14 00:00:00,2020-03-24,Nintendo Switch,e682,168.0,website,direct,desktop,US,2020,5,May,2020-05,20200514
68673786,003ed9bd3d71799,2020-10-26 00:00:00,2020-06-01,Nintendo Switch,e682,134.41,website,direct,desktop,ES,2020,10,Oct,2020-10,20201026
1802f1a0,004602d9c2d12771,2020-10-13 00:00:00,2020-08-30,Sony PlayStation 5 Bundle,54ed,1368.45,website,direct,desktop,AU,2020,10,Oct,2020-10,20201013
2abdb1d2,004d6bc82f820293,2020-10-25 00:00:00,2020-08-01,27in 4K gaming monitor,891b,480.0,website,direct,desktop,US,2020,10,Oct,2020-10,20201025
deba2f70,004eca8109c94135,2019-12-24 00:00:00,2019-09-11,Nintendo Switch,e682,168.0,website,direct,desktop,US,2019,12,Dec,2019-12,20191224
d9f8bd41,0053e1f565292085,2019-05-20 00:00:00,2019-04-09,JBL Quantum 100 Gaming Headset,ab0f,24.0,website,direct,desktop,US,2019,5,May,2019-05,20190520
d37ef9f9,006116b394689293,2020-12-23 00:00:00,2020-08-29,27in 4K gaming monitor,891b,312.0,website,direct,desktop,US,2020,12,Dec,2020-12,20201223
1962fd4e,00617fd9ac813297,2019-03-23 00:00:00,2019-03-08,JBL Quantum 100 Gaming Headset,ab0f,19.2,website,direct,desktop,US,2019,3,Mar,2019-03,20190323
6ee318a8,0064a61f5e347824,2020-12-06 00:00:00,2020-08-30,JBL Quantum 100 Gaming Headset,ab0f,24.0,mobile app,direct,desktop,US,2020,12,Dec,2020-12,20201206
0d688544,006b12955f18514,2020-04-01 00:00:00,2019-11-29,27in 4K gaming monitor,891b,480.0,website,direct,desktop,UA,2020,4,Apr,2020-04,20200401
eb7713b2,006e82641e899478,2020-09-06 00:00:00,2020-05-08,Nintendo Switch,e682,158.9,website,direct,desktop,AT,2020,9,Sep,2020-09,20200906
fbe55d88,006f6e37919106394,2020-06-25 00:00:00,2020-06-10,JBL Quantum 100 Gaming Headset,ab0f,21.46,website,direct,desktop,FR,2020,6,Jun,2020-06,20200625
44b1b815,00740cb808130885,2020-09-18 00:00:00,2020-04-24,Nintendo Switch,e682,113.84,mobile app,direct,desktop,IN,2020,9,Sep,2020-09,20200918
4f91bdc5,0076d16bf5a35309,2020-05-07 00:00:00,2020-02-02,Nintendo Switch,e682,166.44,mobile app,email,mobile,AU,2020,5,May,2020-05,20200507
7aaa16c9,0077b0c58a652405,2020-10-24 00:00:00,2020-09-20,27in 4K gaming monitor,891b,480.0,website,direct,desktop,US,2020,10,Oct,2020-10,20201024
fab63d82,0078e0a047f105931,2020-06-15 00:00:00,2020-02-07,27in 4K gaming monitor,891b,391.4,website,direct,desktop,US,2020,6,Jun,2020-06,20200615
6967b8ad,007d7cc247b45508,2020-12-23 00:00:00,2020-10-31,Nintendo Switch,e682,168.0,website,direct,desktop,US,2020,12,Dec,2020-12,20201223
0548e915,007de4bffd25269,2019-08-26 00:00:00,2019-08-08,Nintendo Switch,e682,149.42,website,direct,desktop,FR,2019,8,Aug,2019-08,20190826
08c6e99f,007ecf8f7136611,2019-11-03 00:00:00,2019-10-13,27in 4K gaming monitor,891b,480.0,website,direct,desktop,US,2019,11,Nov,2019-11,20191103
9ac1cd5e,0080c27c2f965438,2019-05-23 00:00:00,2019-02-14,JBL Quantum 100 Gaming Headset,ab0f,24.0,website,direct,desktop,US,2019,5,May,2019-05,20190523
57f26b8e,00812c6619a38526,2019-06-11 00:00:00,2019-03-02,27in 4K gaming monitor,891b,357.14,website,direct,desktop,DE,2019,6,Jun,2019-06,20190611
1cd9f372,00847ae8fe214786,2020-07-02 00:00:00,2020-06-17,Nintendo Switch,e682,168.0,website,direct,desktop,US,2020,7,Jul,2020-07,20200702
3b36f3e4,0085ba4831e26979,2020-08-10 00:00:00,2020-05-08,JBL Quantum 100 Gaming Headset,ab0f,25.67,website,direct,desktop,GB,2020,8,Aug,2020-08,20200810
f15289db,00871b8548a101993,2020-05-16 00:00:00,2019-12-27,27in 4K gaming monitor,891b,480.0,website,direct,desktop,US,2020,5,May,2020-05,20200516
38e64dc5,00892ce0ebd26044,2020-02-01 00:00:00,2019-10-16,27in 4K gaming monitor,891b,480.0,website,direct,desktop,BR,2020,2,Feb,2020-02,20200201
926c7df9,008a0fca3a862127,2019-09-27 00:00:00,2019-09-21,JBL Quantum 100 Gaming Headset,ab0f,24.99,website,direct,desktop,IL,2019,9,Sep,2019-09,20190927
926c7df9,008a0fca3a862128,2019-09-27 00:00:00,2019-08-25,JBL Quantum 100 Gaming Headset,ab0f,24.99,website,direct,desktop,IL,2019,9,Sep,2019-09,20190927
99af8f03,008eab8ad4a64990,2020-09-15 00:00:00,2020-08-07,JBL Quantum 100 Gaming Headset,ab0f,24.0,website,direct,desktop,US,2020,9,Sep,2020-09,20200915
634fb356,0092f3f12b143001,2020-06-04 00:00:00,2020-04-26,Nintendo Switch,e682,142.8,website,direct,desktop,US,2020,6,Jun,2020-06,20200604
e0154ee5,0097a73104894748,2020-09-25 00:00:00,2020-08-15,Nintendo Switch,e682,168.0,website,direct,desktop,US,2020,9,Sep,2020-09,20200925
64a4a80c,009974bf84f43531,2020-09-19 00:00:00,2020-06-29,Nintendo Switch,e682,168.0,website,direct,desktop,BR,2020,9,Sep,2020-09,20200919
64a4a80c,009974bf84f43532,2020-09-19 00:00:00,2020-06-18,Nintendo Switch,e682,168.0,website,direct,desktop,BR,2020,9,Sep,2020-09,20200919
9d21a9e5,009e134dbfe66439,2019-09-15 00:00:00,2019-07-08,Nintendo Switch,e682,168.0,website,direct,desktop,US,2019,9,Sep,2019-09,20190915
e57a0a97,00a42f4219d96941,2020-04-20 00:00:00,2020-04-12,Nintendo Switch,e682,161.64,mobile app,email,mobile,FR,2020,4,Apr,2020-04,20200420
0e6f746e,00a699348aa8944,2020-03-29 00:00:00,2020-02-12,JBL Quantum 100 Gaming Headset,ab0f,24.06,website,direct,desktop,GB,2020,3,Mar,2020-03,20200329
f9146908,00b512ca418105222,2020-07-05 00:00:00,2020-04-04,Nintendo Switch,e682,129.63,website,direct,desktop,ES,2020,7,Jul,2020-07,20200705
09018b2b,00bc5a48b456724,2020-05-05 00:00:00,2020-04-28,Nintendo Switch,e682,168.0,website,email,mobile,US,2020,5,May,2020-05,20200505
f0fbb10a,00bdb7840ac101863,2020-12-13 00:00:00,2020-08-26,Nintendo Switch,e682,181.02,website,direct,desktop,GB,2020,12,Dec,2020-12,20201213
e89caee7,00bde52c76d98228,2020-07-13 00:00:00,2020-06-26,Nintendo Switch,e682,168.0,website,direct,desktop,US,2020,7,Jul,2020-07,20200713
9f46220f,00c862ab35d67337,2020-10-12 00:00:00,2020-09-02,JBL Quantum 100 Gaming Headset,ab0f,24.0,website,email,desktop,US,2020,10,Oct,2020-10,20201012
ac27bd8b,00cb82187c772953,2020-12-18 00:00:00,2020-11-04,Nintendo Switch,e682,149.36,website,direct,desktop,PL,2020,12,Dec,2020-12,20201218
ac27bd8b,00cb82187c772955,2020-12-18 00:00:00,2020-10-30,Nintendo Switch,e682,149.36,website,direct,desktop,PL,2020,12,Dec,2020-12,20201218
39537b46,00d48fb840f26192,2019-03-31 00:00:00,2019-03-06,Sony PlayStation 5 Bundle,54ed,1280.13,website,direct,desktop,DK,2019,3,Mar,2019-03,20190331
d3bc266b,00d9d5c0cb989399,2019-11-23 00:00:00,2019-10-11,JBL Quantum 100 Gaming Headset,ab0f,24.0,website,email,mobile,US,2019,11,Nov,2019-11,20191123
